,THE HONGKONG AND SHANGHAI BANKING,"JPMORGAN CHASE BANK, NATIONAL",CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DEUTSCHE BANK AG,MERRILL LYNCH FAR EAST LTD,HANG SENG SECURITIES LTD,MACQUARIE BANK LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,GF SECURITIES (HONG KONG) BROKERAGE LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SUN HUNG KAI INVESTMENT SERVICES LTD,BNP PARIBAS SECURITIES SERVICES,CMB INTERNATIONAL SECURITIES LTD
2020-06-17,5901183088,2265441314,1592614928,810882800.0,738483037.0,760986363,726149055,506579974,478095895,444169476,390039340,316403790,148961771,206894857,150733922,140743330.0,125962690,91102183,77777654,,,,146752357.0,
2020-06-16,5915355996,2206929424,1601632891,808357400.0,737569637.0,760307363,727001017,490220515,473650600,474140181,392966940,314409190,169631301,207138183,149507814,140893330.0,125065290,89804753,76270154,,,,155147524.0,
2020-06-15,5918079831,2212224694,1602393289,811395600.0,737612837.0,756724163,726835817,491575697,477931645,472486381,394249140,314116986,170339566,208500410,151314414,140315930.0,124747490,92522661,76170754,,,,140470722.0,
2020-06-12,5903385272,2250428545,1596488780,809484200.0,739767237.0,759477563,732988587,491628309,476504122,438467631,396011390,314226564,165482354,208655441,158577714,140175930.0,124530690,92285504,76195554,,,,134246867.0,
2020-06-11,5898850314,2227641162,1583189609,803362800.0,740469837.0,760618363,733363847,488182709,470978791,441252778,397044790,317204157,179560774,206709884,159648603,,128048890,92441816,77653354,,72271600.0,,140047693.0,
2020-06-10,5902772811,2228131668,1585337926,796961000.0,729234437.0,768652363,731269967,486887309,463950965,426906030,394754481,321027236,191484283,204146924,160675941,140285930.0,135347490,93710174,77641954,,,,139774029.0,
2020-06-09,5912759434,2229971691,1585596934,786905200.0,720534237.0,774489563,734206032,489028509,457545875,439492127,394413481,323664620,195474411,205965183,161501741,141285930.0,131481290,86178725,77540954,,,,139079827.0,
2020-06-08,5893024278,2228160300,1567214673,790177000.0,716363637.0,780941563,739187684,491123509,453585550,440532497,397222681,334284644,197138640,205387585,165558863,141135930.0,128081090,87244185,75820154,,,,136440067.0,
2020-06-05,5893647776,2234450698,1560023950,791539000.0,703510037.0,780349763,741600284,489704936,454350711,440462042,398977481,334087877,194593731,205170062,166640863,141215930.0,127974490,87201615,75390554,,,,137973610.0,
2020-06-04,5889636153,2238330557,1561627540,781405800.0,674393637.0,783170155,744623417,489944504,458352759,438793681,400682281,338437497,190419970,203592301,166323163,141265930.0,128198890,99182534,75364154,,,,152490716.0,
2020-06-03,5872502949,2252048991,1574564766,779332800.0,664764637.0,781201965,742728217,490721144,456980922,447375720,405402681,338396465,180970119,203497229,166882263,141065930.0,128342690,97853472,75862754,,,,148229616.0,
2020-06-02,5859170984,2309886716,1591397933,775953800.0,660802037.0,781333165,692426475,492942529,456532755,459897226,404740681,335593404,169014743,213612814,161834774,141865930.0,128152690,96339443,75365554,,,,152997051.0,
2020-06-01,5838899709,2301877861,1600713470,770375000.0,659113237.0,784424276,694685075,480127538,466346968,449017104,398350042,336457204,197082536,213973937,162441974,142065930.0,128120090,96675449,75140354,,,,146401191.0,
2020-05-29,5829410399,2297918781,1596274171,786066400.0,656866437.0,783122476,696561155,479918658,463910861,467956618,400341818,336457230,183853324,211866269,162502216,141810930.0,128017690,96407249,75103754,,,,158509907.0,
2020-05-28,5807256358,2289786381,1609030032,785637400.0,653516237.0,806485349,698562355,479597540,462573539,477167205,401821947,337712830,173912969,212166205,164338289,142050930.0,127943690,95700938,75100754,,,,158476069.0,
2020-05-27,5761689870,2289924984,1644135456,779441600.0,641569837.0,810042864,700375665,476406765,465833525,474794119,399273319,339097667,193838990,202942886,162597889,142190930.0,128172890,95367818,76102754,,,,152986283.0,
2020-05-26,5754604977,2290729668,1642418384,777635400.0,629163637.0,810376864,707453851,477341046,466199799,474864100,398722719,339123104,195909486,204335411,161241389,141790930.0,128381090,98414844,76104754,,,,136969523.0,
